networkDepth,hiddenNeurons,transferFcn,Validation Accuracy
1,27,tansig,0.942084942084942
2,30,logsig,0.857915057915058
1,12,tansig,0.888030888030888
1,21,logsig,0.925868725868726
1,27,tansig,0.914285714285714
1,25,tansig,0.893436293436293
1,28,tansig,0.945945945945946
1,21,logsig,0.943629343629344
1,29,tansig,0.950579150579151
1,28,tansig,0.942084942084942
1,30,tansig,0.947490347490347
1,30,tansig,0.917374517374517
1,30,tansig,0.932818532818533
1,29,tansig,0.922779922779923
1,28,logsig,0.946718146718147
1,18,logsig,0.915830115830116
1,26,logsig,0.927413127413127
1,29,logsig,0.934362934362934
1,30,logsig,0.741312741312741
1,24,logsig,0.925868725868726
2,28,logsig,0.883397683397683
2,28,tansig,0.941312741312741
2,29,tansig,0.938996138996139
2,21,logsig,0.944401544401544
2,29,logsig,0.9003861003861
2,30,tansig,0.904247104247104
2,22,logsig,0.876447876447876
2,27,tansig,0.955212355212355
2,26,logsig,0.85019305019305
2,27,tansig,0.926640926640927
2,27,tansig,0.935907335907336
2,20,logsig,0.93976833976834
2,24,logsig,0.945173745173745
1,20,logsig,0.928185328185328
2,19,logsig,0.943629343629344
2,26,tansig,0.854826254826255
1,19,logsig,0.904247104247104
1,25,logsig,0.949034749034749
2,24,logsig,0.89034749034749
2,25,logsig,0.883397683397683
1,25,logsig,0.857142857142857
2,20,tansig,0.878764478764479
2,28,tansig,0.949034749034749
2,15,logsig,0.852509652509652
2,5,logsig,0.912741312741313
1,6,tansig,0.853281853281853
2,8,logsig,0.92046332046332
2,16,tansig,0.924324324324324
2,11,logsig,0.894980694980695
2,9,tansig,0.923552123552124
2,23,tansig,0.933590733590734
2,14,tansig,0.932046332046332
2,18,tansig,0.861003861003861
1,13,logsig,0.85019305019305
1,22,tansig,0.945945945945946
1,7,logsig,0.876447876447876
1,10,tansig,0.912741312741313
1,9,logsig,0.938996138996139
1,8,tansig,0.930501930501931
2,17,logsig,0.93976833976834
2,5,tansig,0.893436293436293
1,15,tansig,0.936679536679537
2,10,logsig,0.882625482625483
2,21,tansig,0.945945945945946
1,13,tansig,0.949034749034749
2,24,tansig,0.942857142857143
2,16,logsig,0.922007722007722
2,6,logsig,0.868725868725869
1,17,tansig,0.923552123552124
1,27,logsig,0.928185328185328
1,12,logsig,0.918146718146718
1,23,logsig,0.867953667953668
2,11,tansig,0.915057915057915
2,7,tansig,0.91042471042471
1,19,tansig,0.921235521235521
2,14,logsig,0.898069498069498
2,13,tansig,0.884169884169884
2,22,tansig,0.942857142857143
1,21,tansig,0.943629343629344
1,24,tansig,0.925868725868726
1,17,logsig,0.932046332046332
2,9,logsig,0.901930501930502
2,21,tansig,0.950579150579151
1,22,tansig,0.951351351351351
1,21,tansig,0.894980694980695
2,15,tansig,0.903474903474903
2,22,tansig,0.956756756756757
2,28,tansig,0.897297297297297
2,22,tansig,0.953667953667954
1,14,tansig,0.912741312741313
2,8,tansig,0.92046332046332
1,16,tansig,0.9003861003861
1,23,tansig,0.923552123552124
2,17,tansig,0.943629343629344
1,8,logsig,0.915057915057915
1,9,tansig,0.921235521235521
2,22,tansig,0.945945945945946
2,19,tansig,0.945173745173745
2,18,logsig,0.914285714285714
1,16,logsig,0.907335907335907
2,12,logsig,0.857915057915058
1,11,tansig,0.893436293436293
1,5,logsig,0.867953667953668
2,10,tansig,0.867181467181467
1,7,tansig,0.914285714285714
1,11,logsig,0.891891891891892
1,14,logsig,0.892664092664093
2,27,logsig,0.948262548262548
1,22,tansig,0.932046332046332
2,25,tansig,0.897297297297297
1,5,tansig,0.881081081081081
1,10,logsig,0.917374517374517
2,7,logsig,0.935135135135135
2,12,tansig,0.932046332046332
1,22,logsig,0.936679536679537
1,20,tansig,0.928957528957529
2,6,tansig,0.924324324324324
1,26,tansig,0.883397683397683
2,27,logsig,0.87953667953668
1,13,tansig,0.90965250965251
1,15,logsig,0.918146718146718
1,18,tansig,0.927413127413127
2,23,logsig,0.902702702702703
1,28,logsig,0.767567567567567
2,13,logsig,0.925868725868726
1,6,logsig,0.89034749034749
2,19,tansig,0.930501930501931
2,21,logsig,0.904247104247104
2,21,tansig,0.953667953667954
2,19,logsig,0.932818532818533
2,21,tansig,0.922007722007722
2,17,tansig,0.934362934362934
2,22,tansig,0.946718146718147
2,24,tansig,0.938223938223938
2,22,tansig,0.948262548262548
2,20,logsig,0.903474903474903
2,22,tansig,0.897297297297297
2,17,logsig,0.945945945945946
1,19,tansig,0.943629343629344
2,17,logsig,0.933590733590734
1,19,tansig,0.930501930501931
1,29,tansig,0.904247104247104
1,28,tansig,0.935135135135135
1,9,logsig,0.941312741312741
2,24,tansig,0.92972972972973
2,29,tansig,0.868725868725869
1,22,tansig,0.930501930501931
1,15,tansig,0.92972972972973
1,22,logsig,0.874131274131274
1,9,logsig,0.914285714285714
1,28,tansig,0.943629343629344
2,17,logsig,0.931274131274131
2,23,tansig,0.935135135135135
2,7,logsig,0.92972972972973
1,29,logsig,0.937451737451737
2,21,tansig,0.945173745173745
2,17,tansig,0.875675675675676
2,21,tansig,0.893436293436293
1,17,logsig,0.937451737451737
2,14,tansig,0.937451737451737
2,12,tansig,0.927413127413127
2,19,logsig,0.898069498069498
1,28,tansig,0.935135135135135
2,19,tansig,0.941312741312741
1,8,tansig,0.925096525096525
2,27,tansig,0.921235521235521
2,19,tansig,0.932046332046332
1,20,tansig,0.8996138996139
1,29,logsig,0.908880308880309
1,22,tansig,0.926640926640927
2,22,tansig,0.938223938223938
1,28,tansig,0.932818532818533
1,20,logsig,0.908108108108108
1,27,logsig,0.932046332046332
2,22,tansig,0.91042471042471
1,17,logsig,0.887258687258687
1,24,tansig,0.927413127413127
1,21,logsig,0.935907335907336
2,14,tansig,0.938996138996139
2,24,tansig,0.953667953667954
2,23,tansig,0.932046332046332
2,24,tansig,0.933590733590734
1,18,tansig,0.926640926640927
2,24,tansig,0.947490347490347
1,26,logsig,0.923552123552124
2,24,tansig,0.944401544401544
1,28,tansig,0.938223938223938
2,24,tansig,0.958301158301158
2,24,tansig,0.914285714285714
2,24,tansig,0.922779922779923
2,17,logsig,0.92046332046332
2,14,tansig,0.942857142857143
1,15,tansig,0.930501930501931
2,14,tansig,0.948262548262548
2,19,tansig,0.914285714285714
2,14,tansig,0.918918918918919
1,28,tansig,0.842471042471042
1,24,logsig,0.930501930501931
1,21,logsig,0.91969111969112
2,13,logsig,0.943629343629344
