C,sigma,Validation Accuracy
3,3.8201055880458,0.788416988416988
6,9.95992286000402,0.754440154440154
3,4.88123324878892,0.76988416988417
2,6.1225835786162,0.752123552123552
3,3.36089022312874,0.796138996138996
6,1.03427840488087,0.938223938223938
10,2.22766613698499,0.881081081081081
10,1.00495145282701,0.941312741312741
1,1.00427633179819,0.908108108108108
8,1.00083949797571,0.93976833976834
8,1.00146477330109,0.93976833976834
10,1.00000078849364,0.942084942084942
9,1.00090076204559,0.941312741312741
10,1.24185696593618,0.935907335907336
7,1.24922439408874,0.933590733590734
10,1.01432703688879,0.942084942084942
10,1.00119378928257,0.942084942084942
10,1.00013847053029,0.942084942084942
10,5.55269586819135,0.786872586872587
1,1.64606834724106,0.837065637065637
10,9.99372002519471,0.754440154440154
1,9.99633128349481,0.741312741312741
10,3.42889507127372,0.823166023166023
6,2.01204663672335,0.878764478764479
3,1.21823462603638,0.91969111969112
7,3.37544465088502,0.818532818532819
4,1.00036867921112,0.935907335907336
9,1.65235863003832,0.911196911196911
1,3.62892872292689,0.766023166023166
7,6.8444358212194,0.763706563706564
5,1.49103015916514,0.906563706563707
3,2.04233330233493,0.843243243243243
10,1.04560023732623,0.94054054054054
7,4.71361993902449,0.791505791505791
1,2.43625457861102,0.796138996138996
10,1.54576488977209,0.92046332046332
1,1.21047216252908,0.888030888030888
8,2.55953862672994,0.848648648648649
5,1.17321822811506,0.932818532818533
4,8.11754895914215,0.754440154440154
10,7.64816012941536,0.765250965250965
9,1.28473555362368,0.932046332046332
7,1.53368557786519,0.912741312741313
2,1.00437522202994,0.928957528957529
5,2.59062004929426,0.83011583011583
3,9.99912976630666,0.749034749034749
8,1.11779794913461,0.938996138996139
3,1.06305701292956,0.931274131274131
1,5.04223369147827,0.751351351351351
1,7.77104826614403,0.742857142857143
9,4.22699527963467,0.802316602316602
3,1.55332272364345,0.888030888030888
8,9.97036895246199,0.752895752895753
5,1.00024089399082,0.937451737451737
7,1.00049325662288,0.941312741312741
5,3.99139489845135,0.794594594594595
8,1.96915175790755,0.886486486486487
8,1.36087482733166,0.928957528957529
5,5.83068349290529,0.766795366795367
6,1.26443136252928,0.930501930501931
4,1.28694981619763,0.92046332046332
4,1.83102638128737,0.877220077220077
10,1.84953605416957,0.903474903474903
7,1.09364659211742,0.937451737451737
9,1.11446418944824,0.938996138996139
3,1.00064987836517,0.933590733590734
9,3.00260998509032,0.833976833976834
4,1.10865760516274,0.932818532818533
9,6.20234791537624,0.777606177606178
2,1.35909974138522,0.888803088803089
10,2.71228754088571,0.847876447876448
6,1.00027911072612,0.94054054054054
8,1.22078267667092,0.935135135135135
10,1.36619686998125,0.930501930501931
2,1.11774871994634,0.917374517374517
3,2.57133490504642,0.827027027027027
6,1.70313547499746,0.893436293436293
6,1.14833026135306,0.935135135135135
10,1.13384145759671,0.937451737451737
9,2.11634144284324,0.886486486486487
9,1.04440525119362,0.93976833976834
5,1.07140939041859,0.935135135135135
8,1.58906704050426,0.911969111969112
9,1.44561996857417,0.923552123552124
8,8.26723859017816,0.755212355212355
5,3.19588204640161,0.816216216216216
6,1.42798989888873,0.92046332046332
8,1.05186486673045,0.941312741312741
1,1.99629262189109,0.822393822393822
7,1.36444688061158,0.924324324324324
5,1.30346645595925,0.921235521235521
7,1.02880113323699,0.941312741312741
7,2.31682556486177,0.861003861003861
7,1.0022480092078,0.941312741312741
10,1.0002121238159,0.942084942084942
10,4.39308047988887,0.801544401544402
2,8.58847257425353,0.748262548262548
9,1.18430348891954,0.937451737451737
2,1.7607063011749,0.855598455598456
9,1.00066701838877,0.941312741312741
8,1.04955190624309,0.941312741312741
6,8.11333287951851,0.755984555984556
5,2.08540677029967,0.867953667953668
7,1.81083438332414,0.891119691119691
4,6.57721005273513,0.757528957528958
1,2.99789359156848,0.785328185328185
8,5.35472516523141,0.785328185328185
1,6.24618182224954,0.749034749034749
7,2.81194670311169,0.833976833976834
4,1.48003101222157,0.896525096525096
9,9.0999818688905,0.755212355212355
10,1.01613550982049,0.941312741312741
5,4.81210395661918,0.782239382239382
2,4.30468438568497,0.76988416988417
7,1.16817071015165,0.937451737451737
5,9.99763563668731,0.754440154440154
2,2.84141784166604,0.800772200772201
1,1.08109796868061,0.898069498069498
8,3.73513391172259,0.812355212355212
7,1.00122531975471,0.941312741312741
3,7.32793938163755,0.754440154440154
6,5.52501995175401,0.779150579150579
2,2.25655844195412,0.828571428571429
5,7.0985512577199,0.755984555984556
6,3.9493391093511,0.799227799227799
4,1.18601426169882,0.925868725868726
10,6.53666828702728,0.777606177606178
5,1.74921409163658,0.888030888030888
4,2.91812459805601,0.818532818532819
9,7.39029839763303,0.765250965250965
1,4.28604672092198,0.756756756756757
4,2.31229286318641,0.84015444015444
3,1.36027970345784,0.901158301158301
9,1.86564099079141,0.895752895752896
4,1.04318849881039,0.935135135135135
9,4.97280287454101,0.791505791505791
7,1.02766105604926,0.94054054054054
2,9.9911391293816,0.742084942084942
9,2.5029743239078,0.858687258687259
1,1.40097646248474,0.866409266409266
9,3.54911378729993,0.819305019305019
1,8.97541370742316,0.741312741312741
2,3.47970029410021,0.787644787644788
